district,land_shift_area,complete_year,building_shift_total_area,num_room,num_hall,num_toilet,num_partition,management_org,total_ntd,unit_ntd,carpark_shift_area,carpark_ntd,transaction_year,transaction_month,building_age,number_of_land,number_of_building,number_of_carpark
2,48.01,102.0,185.47,3,2,2,1,1,25850000.0,139375.640265272,0.0,0,2019,4,1917.0,1,1,1
2,45.33,0.0,99.24,6,2,3,1,0,15000000.0,151148.73035066505,0.0,0,2019,4,2019.0,1,1,0
2,12.8,65.0,52.98,2,1,1,1,0,7200000.0,135900.33975084938,0.0,0,2019,3,1954.0,2,1,0
10,23.17,100.0,94.98,1,1,1,1,1,22800000.0,240050.5369551485,0.0,0,2019,3,1919.0,1,1,1
5,43.0,58.0,130.7,0,0,0,0,0,19550000.0,149579.18898240247,0.0,0,2019,4,1961.0,1,1,0
8,6.0,67.0,27.56,1,0,1,1,0,5500000.0,199564.58635703922,0.0,0,2019,3,1952.0,4,1,0
8,30.25,75.0,113.94,3,2,1,1,0,13000000.0,114095.13779182025,0.0,0,2019,3,1944.0,1,1,0
8,7.87,67.0,70.03999999999999,2,1,1,1,1,11280000.0,161050.8280982296,0.0,0,2019,3,1952.0,1,1,0
6,37.28,87.0,83.15,2,1,1,1,1,12680000.0,152495.49007817198,0.0,0,2019,4,1932.0,1,1,1
8,25.33,57.0,58.78,2,1,1,1,0,8300000.0,141204.49132357945,0.0,0,2019,4,1962.0,1,1,0
6,6.02,95.0,156.74,0,0,0,1,1,10000000.0,63799.923440091865,156.7,10000000,2019,4,1924.0,0,0,10
6,49.97,107.0,111.72,0,0,0,0,0,18500000.0,165592.55281059793,32.05,0,2019,4,1912.0,2,1,1
8,5.91,67.0,36.13,1,1,1,1,1,6460000.0,178798.78217547742,0.0,0,2019,3,1952.0,1,1,0
6,15.57,107.0,204.41,3,2,2,1,1,37000000.0,181008.7569101316,41.04,2000000,2019,4,1912.0,1,1,1
8,20.0,98.0,125.97,1,1,1,1,1,20500000.0,162737.1596411844,52.51,0,2019,3,1921.0,1,1,1
6,9.54,107.0,136.0,1,1,1,1,1,20850000.0,153308.82352941178,41.04,2200000,2019,4,1912.0,1,1,2
11,0.45,94.0,38.68,0,0,0,1,1,2900000.0,74974.14684591521,0.0,2900000,2019,4,1925.0,0,0,1
4,30.2,75.71428571428571,120.58,3,2,2,1,0,10000000.0,82932.4929507381,0.0,0,2019,4,1943.2857142857144,4,1,0
11,24.75,67.0,82.58,3,2,2,1,0,11000000.0,133204.1656575442,0.0,0,2019,4,1952.0,1,1,0
9,33.0,72.0,255.97,4,3,2,1,1,69800000.0,272688.2056490995,0.0,0,2019,2,1947.0,1,2,0
11,25.99,76.0,108.39,3,2,2,1,0,12800000.0,118092.07491466006,0.0,0,2019,3,1943.0,2,1,0
4,49.98,103.0,301.7999999999999,3,2,2,1,1,65000000.0,215374.42014579198,55.14,0,2019,3,1916.0,1,1,2
4,34.78,101.0,316.4500000000001,4,2,2,1,1,46200000.0,145994.62790330226,71.84,0,2019,3,1918.0,1,1,2
9,11.84,70.0,114.76,1,2,1,1,1,21000000.0,182990.58905542,0.0,0,2019,4,1949.0,1,1,0
9,57.96,98.0,211.53,4,2,2,1,1,48000000.0,226918.16763579636,0.0,0,2019,3,1921.0,1,1,1
9,4.31,98.0,49.0,1,1,1,1,1,13500000.0,275510.20408163266,0.0,0,2019,4,1921.0,2,1,0
